Elution volume;;UV1_280nm;Activity [%];Absorption at 280nm;UV2_360nm;;UV3_410nm;;Cond;;Cond%;;Conc;;pH;;Pressure;;Flow;;Temp;;Fractions;;Inject;;UV1_280nm@01,BASEM;;Logbook;
5.02;;6.56;;0.43;6.56;319.27;6.56;310.00;7.18;20.84;8.20;20.80;8.20;0.00;8.20;7.07;7.17;1.20;7.18;0.70;8.20;25.90;;;;;6.56;0.28;;
5.06;;6.61;;0.47;6.61;319.28;6.61;309.99;7.23;20.84;8.27;20.80;8.27;0.00;8.27;7.07;7.23;1.20;7.23;0.70;8.27;25.90;;;;;6.61;0.28;;
5.10;;6.67;;0.47;6.67;319.28;6.67;310.03;7.29;20.84;8.33;20.80;8.33;0.00;8.33;7.07;7.29;1.20;7.29;0.70;8.33;25.90;;;;;6.67;0.29;;
5.15;;6.72;;0.49;6.72;319.24;6.72;310.24;7.35;20.84;8.40;20.80;8.40;0.00;8.40;7.07;7.35;1.20;7.35;0.70;8.40;25.90;;;;;6.72;0.29;;
5.19;;6.77;;0.52;6.77;319.29;6.77;310.20;7.41;20.84;8.47;20.80;8.47;0.00;8.47;7.07;7.41;1.22;7.41;0.70;8.47;25.90;;;;;6.77;0.29;;
5.23;;6.83;;0.52;6.83;319.32;6.83;310.01;7.47;20.84;8.53;20.80;8.53;0.00;8.53;7.07;7.47;1.21;7.47;0.70;8.53;25.90;;;;;6.83;0.29;;
5.27;;6.88;;0.53;6.88;319.39;6.88;310.03;7.53;20.84;8.60;20.80;8.60;0.00;8.60;7.07;7.52;1.21;7.53;0.70;8.60;25.90;;;;;6.88;0.29;;
5.31;;6.93;;0.54;6.93;319.35;6.93;310.05;7.58;20.84;8.67;20.80;8.67;0.00;8.67;7.07;7.58;1.20;7.58;0.70;8.67;25.90;;;;;6.93;0.29;;
5.35;;6.99;;0.58;6.99;319.39;6.99;310.12;7.64;20.84;8.73;20.80;8.73;0.00;8.73;7.07;7.64;1.20;7.64;0.70;8.73;25.90;;;;;6.99;0.29;;
5.39;;7.04;;0.60;7.04;319.41;7.04;310.04;7.70;20.84;8.80;20.80;8.80;0.00;8.80;7.07;7.70;1.21;7.70;0.70;8.80;25.90;;;;;7.04;0.29;;
5.43;;7.09;;0.57;7.09;319.39;7.09;309.99;7.76;20.84;8.87;20.80;8.87;0.00;8.87;7.07;7.76;1.20;7.76;0.70;8.87;25.90;;;;;7.09;0.29;;
5.47;;7.15;;0.58;7.15;319.28;7.15;310.06;7.82;20.84;8.93;20.80;8.93;0.00;8.93;7.07;7.82;1.23;7.82;0.70;8.93;25.90;;;;;7.15;0.29;;
5.51;;7.20;;0.58;7.20;319.36;7.20;310.08;7.88;20.84;9.00;20.80;9.00;0.00;9.00;7.07;7.87;1.20;7.88;0.70;9.00;25.90;;;;;7.20;0.29;;
5.55;;7.25;;0.62;7.25;319.43;7.25;310.10;7.93;20.84;9.07;20.80;9.07;0.00;9.07;7.07;7.93;1.21;7.93;0.70;9.07;25.90;;;;;7.25;0.29;;
5.59;;7.31;;0.66;7.31;319.46;7.31;310.11;7.99;20.84;9.13;20.80;9.13;0.00;9.13;7.07;7.99;1.21;7.99;0.70;9.13;25.90;;;;;7.31;0.29;;
5.64;;7.36;;0.64;7.36;319.49;7.36;310.17;8.05;20.84;9.20;20.80;9.20;0.00;9.20;7.07;8.05;1.19;8.05;0.70;9.20;25.90;;;;;7.36;0.29;;
5.68;;7.41;;0.64;7.41;319.44;7.41;310.13;8.11;20.83;9.27;20.80;9.27;0.00;9.27;7.07;8.11;1.22;8.11;0.70;9.27;25.90;;;;;7.41;0.29;;
5.72;;7.47;;0.64;7.47;319.43;7.47;310.09;8.17;20.83;9.33;20.80;9.33;0.00;9.33;7.07;8.17;1.21;8.17;0.70;9.33;25.90;;;;;7.47;0.29;;
5.76;;7.52;;0.69;7.52;319.40;7.52;310.07;8.23;20.83;9.40;20.80;9.40;0.00;9.40;7.07;8.22;1.22;8.23;0.70;9.40;25.90;;;;;7.52;0.30;;
5.80;;7.57;;0.72;7.57;319.43;7.57;310.06;8.28;20.83;9.47;20.80;9.47;0.00;9.47;7.07;8.28;1.21;8.28;0.70;9.47;25.90;;;;;7.57;0.30;;
5.84;;7.63;;0.72;7.63;319.49;7.63;310.12;8.34;20.83;9.53;20.80;9.53;0.00;9.53;7.07;8.34;1.20;8.34;0.70;9.53;25.90;;;;;7.63;0.30;;
5.88;;7.68;;0.66;7.68;319.48;7.68;310.12;8.40;20.83;9.60;20.80;9.60;0.00;9.60;7.07;8.40;1.21;8.40;0.70;9.60;25.90;;;;;7.68;0.30;;
5.92;;7.73;;0.65;7.73;319.44;7.73;310.10;8.46;20.83;9.67;20.80;9.67;0.00;9.67;7.07;8.46;1.20;8.46;0.70;9.67;25.90;;;;;7.73;0.30;;
5.96;;7.79;;0.63;7.79;319.44;7.79;310.09;8.52;20.83;9.73;20.80;9.73;0.00;9.73;7.07;8.52;1.22;8.52;0.70;9.73;25.90;;;;;7.79;0.30;;
6.00;;7.84;;0.59;7.84;319.35;7.84;310.07;8.58;20.83;9.80;20.80;9.80;0.00;9.80;7.06;8.57;1.21;8.58;0.70;9.80;25.90;;;;;7.84;0.30;;
6.04;;7.89;;0.57;7.89;319.33;7.89;310.04;8.63;20.83;9.87;20.80;9.87;0.00;9.87;7.07;8.63;1.20;8.63;0.70;9.87;25.90;;;;;7.89;0.30;;
6.08;;7.95;;0.54;7.95;319.33;7.95;310.00;8.69;20.83;9.93;20.80;9.93;0.00;9.93;7.07;8.69;1.21;8.69;0.70;9.93;25.90;;;;;7.95;0.30;;
6.13;;8.00;;0.52;8.00;319.42;8.00;309.95;8.75;20.83;10.00;20.80;10.00;0.00;10.00;7.07;8.75;1.21;8.75;0.70;10.00;25.90;;;;;8.00;0.30;;
6.17;;8.05;;0.53;8.05;319.48;8.05;310.00;8.81;20.83;10.07;20.80;10.07;0.00;10.07;7.07;8.81;1.21;8.81;0.70;10.07;25.90;;;;;8.05;0.30;;
6.21;;8.11;;0.53;8.11;319.44;8.11;309.98;8.87;20.83;10.13;20.80;10.13;0.00;10.13;7.07;8.87;1.22;8.87;0.70;10.13;25.90;;;;;8.11;0.30;;
6.25;;8.16;;0.50;8.16;319.43;8.16;310.03;8.93;20.83;10.20;20.80;10.20;0.00;10.20;7.07;8.92;1.21;8.93;0.70;10.20;25.90;;;;;8.16;0.30;;
6.29;;8.21;;0.46;8.21;319.39;8.21;310.05;8.98;20.83;10.27;20.80;10.27;0.00;10.27;7.07;8.98;1.20;8.98;0.70;10.27;25.90;;;;;8.21;0.30;;
6.33;;8.27;;0.42;8.27;319.43;8.27;310.00;9.04;20.83;10.33;20.80;10.33;0.00;10.33;7.07;9.04;1.20;9.04;0.70;10.33;25.90;;;;;8.27;0.30;;
6.37;;8.32;;0.41;8.32;319.42;8.32;310.03;9.10;20.83;10.40;20.80;10.40;0.00;10.40;7.07;9.10;1.21;9.10;0.70;10.40;25.90;;;;;8.32;0.30;;
6.41;;8.37;;0.39;8.37;319.44;8.37;310.05;9.16;20.83;10.47;20.80;10.47;0.00;10.47;7.07;9.16;1.21;9.16;0.70;10.47;25.90;;;;;8.37;0.31;;
6.45;;8.43;;0.36;8.43;319.44;8.43;309.96;9.22;20.83;10.53;20.80;10.53;0.00;10.53;7.07;9.22;1.21;9.22;0.70;10.53;25.80;;;;;8.43;0.31;;
6.49;;8.48;;0.39;8.48;319.42;8.48;310.03;9.28;20.83;10.60;20.80;10.60;0.00;10.60;7.07;9.27;1.22;9.28;0.70;10.60;25.80;;;;;8.48;0.31;;
6.53;;8.53;;0.40;8.53;319.44;8.53;310.08;9.33;20.83;10.67;20.80;10.67;0.00;10.67;7.07;9.33;1.20;9.33;0.70;10.67;25.80;;;;;8.53;0.31;;
6.57;;8.59;;0.37;8.59;319.43;8.59;310.07;9.39;20.83;10.73;20.80;10.73;0.00;10.73;7.07;9.39;1.21;9.39;0.70;10.73;25.80;;;;;8.59;0.31;;
6.62;;8.64;;0.36;8.64;319.42;8.64;310.04;9.45;20.83;10.80;20.80;10.80;0.00;10.80;7.07;9.45;1.20;9.45;0.70;10.80;25.80;;;;;8.64;0.31;;
6.66;;8.69;;0.34;8.69;319.45;8.69;309.97;9.51;20.83;10.87;20.80;10.87;0.00;10.87;7.07;9.51;1.21;9.51;0.70;10.87;25.80;;;;;8.69;0.31;;
6.70;;8.75;;0.35;8.75;319.50;8.75;309.91;9.57;20.83;10.93;20.80;10.93;0.00;10.93;7.07;9.57;1.21;9.57;0.70;10.93;25.80;;;;;8.75;0.31;;
6.74;;8.80;;0.37;8.80;319.48;8.80;309.91;9.63;20.84;11.00;20.80;11.00;0.00;11.00;7.07;9.62;1.21;9.63;0.70;11.00;25.80;;;;;8.80;0.31;;
6.78;;8.85;;0.37;8.85;319.45;8.85;309.89;9.68;20.84;11.07;20.80;11.07;0.00;11.07;7.07;9.68;1.21;9.68;0.70;11.07;25.80;;;;;8.85;0.31;;
6.82;;8.91;;0.36;8.91;319.48;8.91;310.02;9.74;20.84;11.13;20.80;11.13;0.00;11.13;7.07;9.74;1.21;9.74;0.70;11.13;25.80;;;;;8.91;0.31;;
6.86;;8.96;;0.34;8.96;319.48;8.96;310.07;9.80;20.84;11.20;20.80;11.20;0.00;11.20;7.07;9.80;1.21;9.80;0.70;11.20;25.80;;;;;8.96;0.31;;
6.90;;9.01;;0.32;9.01;319.52;9.01;309.98;9.86;20.84;11.27;20.80;11.27;0.00;11.27;7.07;9.86;1.21;9.86;0.70;11.27;25.80;;;;;9.01;0.31;;
6.94;;9.07;;0.33;9.07;319.51;9.07;309.93;9.92;20.84;11.33;20.80;11.33;0.00;11.33;7.07;9.92;1.21;9.92;0.70;11.33;25.80;;;;;9.07;0.31;;
6.98;;9.12;;0.33;9.12;319.49;9.12;309.96;9.98;20.84;11.40;20.80;11.40;0.00;11.40;7.07;9.97;1.22;9.98;0.70;11.40;25.80;;;;;9.12;0.32;;
7.02;;9.17;;0.30;9.17;319.47;9.17;309.99;10.03;20.84;11.47;20.80;11.47;0.00;11.47;7.07;10.03;1.22;10.03;0.70;11.47;25.80;;;;;9.17;0.30;;
7.06;;9.23;;0.30;9.23;319.49;9.23;310.01;10.09;20.84;11.53;20.80;11.53;0.00;11.53;7.07;10.09;1.20;10.09;0.70;11.53;25.80;;;;;9.23;0.30;;
7.11;;9.28;;0.32;9.28;319.60;9.28;310.12;10.15;20.84;11.60;20.80;11.60;0.00;11.60;7.07;10.15;1.21;10.15;0.70;11.60;25.80;;;;;9.28;0.32;;
7.15;;9.33;;0.37;9.33;319.60;9.33;310.13;10.21;20.84;11.67;20.80;11.67;0.00;11.67;7.07;10.21;1.20;10.21;0.70;11.67;25.80;;;;;9.33;0.32;;
7.19;;9.39;;0.40;9.39;319.59;9.39;310.14;10.27;20.84;11.73;20.80;11.73;0.00;11.73;7.07;10.27;1.21;10.27;0.70;11.73;25.80;;;;;9.39;0.32;;
7.23;;9.44;;0.42;9.44;319.67;9.44;310.16;10.33;20.83;11.80;20.80;11.80;0.00;11.80;7.07;10.32;1.22;10.33;0.70;11.80;25.80;;;;;9.44;0.32;;
7.27;;9.49;;0.41;9.49;319.71;9.49;310.13;10.38;20.84;11.87;20.80;11.87;0.00;11.87;7.07;10.38;1.21;10.38;0.70;11.87;25.80;;;;;9.49;0.32;;
7.31;;9.55;;0.36;9.55;319.66;9.55;310.15;10.44;20.84;11.93;20.80;11.93;0.00;11.93;7.07;10.44;1.22;10.44;0.70;11.93;25.80;;;;;9.55;0.32;;
7.35;;9.60;;0.37;9.60;319.65;9.60;310.22;10.50;20.84;12.00;20.80;12.00;0.00;12.00;7.07;10.50;1.21;10.50;0.70;12.00;25.80;;;;;9.60;0.32;;
7.39;;9.65;;0.39;9.65;319.59;9.65;310.16;10.56;20.84;12.07;20.80;12.07;0.00;12.07;7.07;10.56;1.21;10.56;0.70;12.07;25.80;;;;;9.65;0.33;;
7.43;;9.71;;0.36;9.71;319.57;9.71;310.10;10.62;20.84;12.13;20.80;12.13;0.00;12.13;7.07;10.62;1.21;10.62;0.70;12.13;25.80;;;;;9.71;0.33;;
7.47;;9.76;;0.37;9.76;319.56;9.76;310.12;10.68;20.84;12.20;20.80;12.20;0.00;12.20;7.07;10.67;1.22;10.68;0.70;12.20;25.80;;;;;9.76;0.33;;
7.51;;9.81;;0.41;9.81;319.53;9.81;310.15;10.73;20.84;12.27;20.80;12.27;0.00;12.27;7.07;10.73;1.22;10.73;0.70;12.27;25.80;;;;;9.81;0.33;;
7.55;;9.87;;0.40;9.87;319.56;9.87;310.11;10.79;20.84;12.33;20.80;12.33;0.00;12.33;7.07;10.79;1.21;10.79;0.70;12.33;25.80;;;;;9.87;0.33;;
7.60;;9.92;;0.36;9.92;319.51;9.92;310.09;10.85;20.84;12.40;20.80;12.40;0.00;12.40;7.07;10.85;1.21;10.85;0.70;12.40;25.80;;;;;9.92;0.33;;
7.64;;9.97;;0.35;9.97;319.51;9.97;310.02;10.91;20.84;12.47;20.80;12.47;0.00;12.47;7.07;10.91;1.21;10.91;0.70;12.47;25.80;;;;;9.97;0.33;;
7.68;;10.03;;0.35;10.03;319.54;10.03;310.04;10.97;20.84;12.53;20.80;12.53;0.00;12.53;7.07;10.97;1.21;10.97;0.70;12.53;25.80;;;;;10.03;0.34;;
7.72;;10.08;;0.37;10.08;319.52;10.08;309.96;11.03;20.84;12.60;20.80;12.60;0.00;12.60;7.07;11.02;1.22;11.03;0.70;12.60;25.80;;;;;10.08;0.34;;
7.76;;10.13;;0.40;10.13;319.56;10.13;309.96;11.08;20.84;12.67;20.80;12.67;0.00;12.67;7.07;11.08;1.21;11.08;0.70;12.67;25.80;;;;;10.13;0.34;;
7.80;;10.19;;0.35;10.19;319.52;10.19;309.97;11.14;20.84;12.73;20.80;12.73;0.00;12.73;7.07;11.14;1.22;11.14;0.70;12.73;25.80;;;;;10.19;0.34;;
7.84;;10.24;;0.36;10.24;319.55;10.24;310.00;11.20;20.84;12.80;20.80;12.80;0.00;12.80;7.07;11.20;1.21;11.20;0.70;12.80;25.80;;;;;10.24;0.34;;
7.88;;10.29;;0.38;10.29;319.60;10.29;310.05;11.26;20.83;12.87;20.80;12.87;0.00;12.87;7.07;11.26;1.21;11.26;0.70;12.87;25.80;;;;;10.29;0.34;;
7.92;;10.35;;0.40;10.35;319.61;10.35;310.08;11.32;20.83;12.93;20.80;12.93;0.00;12.93;7.07;11.32;1.21;11.32;0.70;12.93;25.80;;;;;10.35;0.35;;
7.96;;10.40;;0.42;10.40;319.59;10.40;310.05;11.38;20.84;13.00;20.80;13.00;0.00;13.00;7.07;11.37;1.21;11.38;0.70;13.00;25.80;;;;;10.40;0.35;;
8.00;;10.45;;0.41;10.45;319.52;10.45;310.03;11.43;20.84;13.07;20.80;13.07;0.00;13.07;7.07;11.43;1.23;11.43;0.70;13.07;25.80;;;;;10.45;0.35;;
8.04;;10.51;;0.40;10.51;319.52;10.51;310.07;11.49;20.84;13.13;20.80;13.13;0.00;13.13;7.07;11.49;1.22;11.49;0.70;13.13;25.80;;;;;10.51;0.35;;
8.09;;10.56;;0.41;10.56;319.52;10.56;310.00;11.55;20.84;13.20;20.80;13.20;0.00;13.20;7.07;11.55;1.20;11.55;0.70;13.20;25.80;;;;;10.56;0.35;;
8.13;;10.61;;0.42;10.61;319.60;10.61;309.98;11.61;20.84;13.27;20.80;13.27;0.00;13.27;7.07;11.61;1.21;11.61;0.70;13.27;25.80;;;;;10.61;0.36;;
8.17;;10.67;;0.43;10.67;319.64;10.67;310.01;11.67;20.84;13.33;20.80;13.33;0.00;13.33;7.07;11.67;1.21;11.67;0.70;13.33;25.80;;;;;10.67;0.36;;
8.21;;10.72;;0.46;10.72;319.68;10.72;309.96;11.73;20.84;13.40;20.80;13.40;0.00;13.40;7.07;11.72;1.23;11.73;0.70;13.40;25.80;;;;;10.72;0.36;;
8.25;;10.77;;0.52;10.77;319.62;10.77;309.97;11.78;20.84;13.47;20.80;13.47;0.00;13.47;7.07;11.78;1.22;11.78;0.70;13.47;25.80;;;;;10.77;0.36;;
8.29;;10.83;;0.52;10.83;319.61;10.83;309.98;11.84;20.84;13.53;20.80;13.53;0.00;13.53;7.07;11.84;1.22;11.84;0.70;13.53;25.80;;;;;10.83;0.37;;
8.33;;10.88;;0.51;10.88;319.55;10.88;310.03;11.90;20.83;13.60;20.80;13.60;0.00;13.60;7.07;11.90;1.22;11.90;0.70;13.60;25.80;;;;;10.88;0.37;;
8.37;;10.93;;0.52;10.93;319.56;10.93;310.03;11.96;20.83;13.67;20.80;13.67;0.00;13.67;7.07;11.96;1.21;11.96;0.70;13.67;25.80;;;;;10.93;0.37;;
8.41;;10.99;;0.56;10.99;319.66;10.99;310.01;12.02;20.83;13.73;20.80;13.73;0.00;13.73;7.07;12.02;1.21;12.02;0.70;13.73;25.80;;;;;10.99;0.37;;
8.45;;11.04;;0.56;11.04;319.60;11.04;310.00;12.08;20.83;13.80;20.80;13.80;0.00;13.80;7.07;12.07;1.22;12.08;0.70;13.80;25.80;;;;;11.04;0.38;;
8.49;;11.09;;0.59;11.09;319.64;11.09;310.02;12.13;20.83;13.87;20.80;13.87;0.00;13.87;7.07;12.13;1.22;12.13;0.70;13.87;25.80;;;;;11.09;0.38;;
8.53;;11.15;;0.57;11.15;319.62;11.15;310.09;12.19;20.84;13.93;20.80;13.93;0.00;13.93;7.07;12.19;1.21;12.19;0.70;13.93;25.80;;;;;11.15;0.38;;
8.58;;11.20;;0.54;11.20;319.64;11.20;310.01;12.25;20.84;14.00;20.80;14.00;0.00;14.00;7.07;12.25;1.21;12.25;0.70;14.00;25.80;;;;;11.20;0.39;;
8.62;;11.25;;0.54;11.25;319.64;11.25;310.01;12.31;20.84;14.07;20.80;14.07;0.00;14.07;7.07;12.31;1.22;12.31;0.70;14.07;25.80;;;;;11.25;0.39;;
8.66;;11.31;;0.56;11.31;319.68;11.31;310.08;12.37;20.84;14.13;20.80;14.13;0.00;14.13;7.07;12.37;1.21;12.37;0.70;14.13;25.80;;;;;11.31;0.39;;
8.70;;11.36;;0.55;11.36;319.70;11.36;310.15;12.43;20.85;14.20;20.80;14.20;0.00;14.20;7.07;12.42;1.22;12.43;0.70;14.20;25.80;;;;;11.36;0.39;;
8.74;;11.41;;0.56;11.41;319.71;11.41;310.12;12.48;20.84;14.27;20.80;14.27;0.00;14.27;7.07;12.48;1.22;12.48;0.70;14.27;25.80;;;;;11.41;0.40;;
8.78;;11.47;;0.55;11.47;319.71;11.47;310.08;12.54;20.84;14.33;20.80;14.33;0.00;14.33;7.07;12.54;1.22;12.54;0.70;14.33;25.80;;;;;11.47;0.40;;
8.82;;11.52;;0.53;11.52;319.73;11.52;310.19;12.60;20.84;14.40;20.80;14.40;0.00;14.40;7.07;12.60;1.21;12.60;0.70;14.40;25.80;;;;;11.52;0.41;;
8.86;;11.57;;0.50;11.57;319.71;11.57;310.16;12.66;20.84;14.47;20.80;14.47;0.00;14.47;7.07;12.66;1.22;12.66;0.70;14.47;25.80;;;;;11.57;0.41;;
8.90;;11.63;;0.49;11.63;319.63;11.63;310.11;12.72;20.84;14.53;20.80;14.53;0.00;14.53;7.07;12.72;1.21;12.72;0.70;14.53;25.80;;;;;11.63;0.41;;
8.94;;11.68;;0.50;11.68;319.61;11.68;310.04;12.78;20.84;14.60;20.80;14.60;0.00;14.60;7.07;12.77;1.23;12.78;0.70;14.60;25.80;;;;;11.68;0.42;;
8.98;;11.73;;0.46;11.73;319.64;11.73;310.01;12.83;20.84;14.67;20.80;14.67;0.00;14.67;7.07;12.83;1.22;12.83;0.70;14.67;25.80;;;;;11.73;0.42;;
9.02;;11.79;;0.47;11.79;319.72;11.79;310.00;12.89;20.84;14.73;20.80;14.73;0.00;14.73;7.07;12.89;1.22;12.89;0.70;14.73;25.80;;;;;11.79;0.43;;
9.07;;11.84;;0.53;11.84;319.67;11.84;310.08;12.95;20.85;14.80;20.80;14.80;0.00;14.80;7.07;12.95;1.22;12.95;0.70;14.80;25.80;;;;;11.84;0.43;;
9.11;;11.89;;0.54;11.89;319.64;11.89;310.10;13.01;20.85;14.87;20.90;14.87;0.00;14.87;7.07;13.01;1.22;13.01;0.70;14.87;25.80;;;;;11.89;0.43;;
9.15;;11.95;;0.55;11.95;319.71;11.95;310.10;13.07;20.85;14.93;20.90;14.93;0.00;14.93;7.07;13.07;1.21;13.07;0.70;14.93;25.80;;;;;11.95;0.44;;
9.19;;12.00;;0.53;12.00;319.68;12.00;310.08;13.13;20.85;15.00;20.80;15.00;0.00;15.00;7.07;13.12;1.23;13.13;0.70;15.00;25.80;;;;;12.00;0.44;;
9.23;;12.05;;0.53;12.05;319.66;12.05;310.08;13.18;20.84;15.07;20.80;15.07;0.00;15.07;7.07;13.18;1.22;13.18;0.70;15.07;25.80;;;;;12.05;0.45;;
9.27;;12.11;;0.51;12.11;319.71;12.11;310.09;13.24;20.84;15.13;20.80;15.13;0.00;15.13;7.07;13.24;1.22;13.24;0.70;15.13;25.80;;;;;12.11;0.45;;
9.31;;12.16;;0.54;12.16;319.76;12.16;310.13;13.30;20.84;15.20;20.80;15.20;0.00;15.20;7.07;13.30;1.20;13.30;0.70;15.20;25.80;;;;;12.16;0.46;;
9.35;;12.21;;0.53;12.21;319.72;12.21;310.10;13.36;20.85;15.27;20.80;15.27;0.00;15.27;7.07;13.36;1.22;13.36;0.70;15.27;25.80;;;;;12.21;0.46;;
9.39;;12.27;;0.48;12.27;319.72;12.27;310.02;13.42;20.85;15.33;20.80;15.33;0.00;15.33;7.07;13.42;1.22;13.42;0.70;15.33;25.80;;;;;12.27;0.47;;
9.43;;12.32;;0.44;12.32;319.62;12.32;310.07;13.48;20.85;15.40;20.80;15.40;0.00;15.40;7.07;13.47;1.23;13.48;0.70;15.40;25.80;;;;;12.32;0.44;;
9.47;;12.37;;0.41;12.37;319.55;12.37;310.06;13.53;20.85;15.47;20.80;15.47;0.00;15.47;7.07;13.53;1.22;13.53;0.70;15.47;25.80;;;;;12.37;0.41;;
9.51;;12.43;;0.42;12.43;319.59;12.43;309.95;13.59;20.85;15.53;20.80;15.53;0.00;15.53;7.07;13.59;1.21;13.59;0.70;15.53;25.80;;;;;12.43;0.42;;
9.56;;12.48;;0.41;12.48;319.67;12.48;309.95;13.65;20.84;15.60;20.80;15.60;0.00;15.60;7.07;13.65;1.22;13.65;0.70;15.60;25.80;;;;;12.48;0.41;;
9.60;;12.53;;0.42;12.53;319.61;12.53;309.95;13.71;20.84;15.67;20.80;15.67;0.00;15.67;7.07;13.71;1.21;13.71;0.70;15.67;25.80;;;;;12.53;0.42;;
9.64;;12.59;;0.43;12.59;319.54;12.59;309.98;13.77;20.84;15.73;20.80;15.73;0.00;15.73;7.07;13.77;1.22;13.77;0.70;15.73;25.80;;;;;12.59;0.43;;
9.68;;12.64;;0.42;12.64;319.58;12.64;310.06;13.83;20.84;15.80;20.80;15.80;0.00;15.80;7.07;13.82;1.23;13.83;0.70;15.80;25.80;;;;;12.64;0.42;;
9.72;;12.69;;0.47;12.69;319.67;12.69;310.04;13.88;20.84;15.87;20.80;15.87;0.00;15.87;7.07;13.88;1.23;13.88;0.70;15.87;25.80;;;;;12.69;0.47;;
9.76;;12.75;;0.45;12.75;319.66;12.75;309.98;13.94;20.84;15.93;20.80;15.93;0.00;15.93;7.07;13.94;1.22;13.94;0.70;15.93;25.80;;;;;12.75;0.45;;
9.80;;12.80;;0.41;12.80;319.64;12.80;310.01;14.00;20.84;16.00;20.80;16.00;0.00;16.00;7.07;14.00;1.21;14.00;0.70;16.00;25.80;;;;;12.80;0.41;;
9.84;;12.85;;0.44;12.85;319.66;12.85;309.96;14.06;20.84;16.07;20.80;16.07;0.00;16.07;7.07;14.06;1.21;14.06;0.70;16.07;25.80;;;;;12.85;0.44;;
9.88;;12.91;;0.41;12.91;319.62;12.91;309.96;14.12;20.84;16.13;20.80;16.13;0.00;16.13;7.07;14.12;1.23;14.12;0.70;16.13;25.80;;;;;12.91;0.41;;
9.92;;12.96;;0.40;12.96;319.67;12.96;309.94;14.18;20.84;16.20;20.80;16.20;0.00;16.20;7.07;14.17;1.23;14.18;0.70;16.20;25.80;;;;;12.96;0.40;;
9.96;;13.01;;0.39;13.01;319.68;13.01;310.05;14.23;20.85;16.27;20.80;16.27;0.00;16.27;7.07;14.23;1.23;14.23;0.70;16.27;25.80;;;;;13.01;0.39;;
10.00;;13.07;;0.38;13.07;319.65;13.07;310.02;14.29;20.84;16.33;20.80;16.33;0.00;16.33;7.07;14.29;1.20;14.29;0.70;16.33;25.80;;;;;13.07;0.38;;
10.05;;13.12;;0.38;13.12;319.68;13.12;310.02;14.35;20.84;16.40;20.80;16.40;0.00;16.40;7.07;14.35;1.22;14.35;0.70;16.40;25.80;;;;;13.12;0.38;;
10.09;;13.17;;0.38;13.17;319.67;13.17;310.04;14.41;20.84;16.47;20.80;16.47;0.00;16.47;7.07;14.41;1.22;14.41;0.70;16.47;25.80;;;;;13.17;0.38;;
10.13;;13.23;;0.41;13.23;319.70;13.23;310.02;14.47;20.85;16.53;20.80;16.53;0.00;16.53;7.07;14.47;1.21;14.47;0.70;16.53;25.80;;;;;13.23;0.41;;
10.17;;13.28;;0.41;13.28;319.67;13.28;310.05;14.53;20.85;16.60;20.80;16.60;0.00;16.60;7.07;14.52;1.24;14.53;0.70;16.60;25.80;;;;;13.28;0.41;;
10.21;;13.33;;0.43;13.33;319.75;13.33;310.03;14.58;20.84;16.67;20.80;16.67;0.00;16.67;7.07;14.58;1.23;14.58;0.70;16.67;25.80;;;;;13.33;0.43;;
10.25;;13.39;;0.49;13.39;319.72;13.39;310.09;14.64;20.84;16.73;20.80;16.73;0.00;16.73;7.07;14.64;1.22;14.64;0.70;16.73;25.80;;;;;13.39;0.49;;
10.29;;13.44;;0.55;13.44;319.80;13.44;310.12;14.70;20.85;16.80;20.80;16.80;0.00;16.80;7.07;14.70;1.21;14.70;0.70;16.80;25.80;;;;;13.44;0.55;;
10.33;;13.49;;0.52;13.49;319.77;13.49;310.14;14.76;20.85;16.87;20.80;16.87;0.00;16.87;7.07;14.76;1.22;14.76;0.70;16.87;25.80;;;;;13.49;0.52;;
10.37;;13.55;;0.53;13.55;319.75;13.55;310.18;14.82;20.85;16.93;20.80;16.93;0.00;16.93;7.07;14.82;1.22;14.82;0.70;16.93;25.80;;;;;13.55;0.53;;
10.41;;13.60;;0.53;13.60;319.78;13.60;310.13;14.88;20.85;17.00;20.80;17.00;0.00;17.00;7.07;14.87;1.22;14.88;0.70;17.00;25.80;;;;;13.60;0.53;;
10.45;;13.65;;0.54;13.65;319.79;13.65;310.17;14.93;20.85;17.07;20.80;17.07;0.00;17.07;7.07;14.93;1.23;14.93;0.70;17.07;25.80;;;;;13.65;0.54;;
10.49;;13.71;;0.54;13.71;319.74;13.71;310.14;14.99;20.85;17.13;20.80;17.13;0.00;17.13;7.07;14.99;1.22;14.99;0.70;17.13;25.80;;;;;13.71;0.54;;
10.54;;13.76;;0.52;13.76;319.75;13.76;310.16;15.05;20.85;17.20;20.80;17.20;0.00;17.20;7.07;15.05;1.22;15.05;0.70;17.20;25.80;;;;;13.76;0.52;;
10.58;;13.81;;0.53;13.81;319.77;13.81;310.14;15.11;20.84;17.27;20.80;17.27;0.00;17.27;7.07;15.11;1.22;15.11;0.70;17.27;25.80;;;;;13.81;0.53;;
10.62;;13.87;;0.56;13.87;319.75;13.87;310.10;15.17;20.84;17.33;20.80;17.33;0.00;17.33;7.07;15.17;1.22;15.17;0.70;17.33;25.80;;;;;13.87;0.56;;
